cuisine,ingredient,weight
Garlic Bread and Aglio Olio,Parmesan Cheese,2T
Garlic Bread and Aglio Olio,salt,1 t
Garlic Bread and Aglio Olio,pepper,1/2t
Garlic Bread and Aglio Olio,olive oil,2T
Garlic Bread and Aglio Olio,Rosemary,1g
Hot Chicken and Onion Rice,water,6T
Hot Chicken and Onion Rice,Mirin,2T
Hot Chicken and Onion Rice,soy sauce,2T
Hot Chicken and Onion Rice,onion,One
Hot Chicken and Onion Rice,egg,2
Hot Chicken and Onion Rice,green onion,2-Jan
Hot Chicken and Onion Rice,Canned Chicken,One
Chickpea Salad,Chickpeas in clay,50g
Chickpea Salad,per dish,Appropriate amount
Chickpea Salad,soy sauce,2 spoons
Chickpea Salad,vinegar,a little
Chickpea Salad,chopped garlic,Appropriate amount
Chickpea Salad,parsley powder,little
Chickpea Salad,olive oil dressing,Appropriate amount
Chickpea Salad,tomato,little
Fried tuna seaweed roll,tuna,1 can
Fried tuna seaweed roll,onion,2-Jan
Fried tuna seaweed roll,green pepper,One
Fried tuna seaweed roll,red pepper,One
Fried tuna seaweed roll,seaweed,Chapter 6
Fried tuna seaweed roll,frying powder,1/3 cup
Fried tuna seaweed roll,water,3 tablespoons
Fried tuna seaweed roll,egg,One
Fried tuna seaweed roll,flour,1/2 cup
Oji Cheese Fries,five potatoes,1 bag
Oji Cheese Fries,Sliced Cheese,Chapter 2
Oji Cheese Fries,string cheese,One
Samgyetang,chicken,one animal
Samgyetang,night,4 pills
Samgyetang,garlic,4 pills
Samgyetang,jujube,4 pieces
Samgyetang,Glutinous rice,half a cup
Samgyetang,fresh ginseng,Hanppuri (Medium)
Hot Chicken Burger,Hot Chicken Stir-Fried Noodles,One
Hot Chicken Burger,great burger,One
Hot Chicken Burger,Stir-fried Kimchi,1 bag
Hot Chicken Burger,string cheese,One
Mandu Cheese Tteokbokki,Joe's Tteokbokki,One
Mandu Cheese Tteokbokki,Xiao Long Dumpling,1 pack
Mandu Cheese Tteokbokki,string cheese,One
drug corn,sweet corn,1 can
drug corn,butter,1 tbsp
drug corn,Parmesan Cheese Powder,1-2 tablespoons
drug corn,sugar,as you like
drug corn,chili powder,a little
Spicy Pork Ribs Braised,Pork barbecue,1 pack
Spicy Pork Ribs Braised,mushroom,1 pack
Spicy Pork Ribs Braised,Sesame,Chapter 4
Spicy Pork Ribs Braised,Cheongyang Pepper,2-Jan
Spicy Pork Ribs Braised,red pepper,One
Spicy Pork Ribs Braised,chili pepper paste,2 tbsp
Spicy Pork Ribs Braised,chili powder,3 tbsp
Spicy Pork Ribs Braised,chopped garlic,1/2 tbsp
Spicy Pork Ribs Braised,cooking wine,2 tbsp
Spicy Pork Ribs Braised,pepper powder,Appropriate amount
Stir-fried Potatoes,potato,2
Stir-fried Potatoes,carrot,4-Jan
Stir-fried Potatoes,onion,2-Jan
Stir-fried Potatoes,sliced ham,Chapters 4-5
Stir-fried Potatoes,Sesame,a little
Stir-fried Potatoes,salt,a little
Pizza Hotteok,hotteok mix,One
Pizza Hotteok,tomato sauce,1/2 cup
Pizza Hotteok,pizza cheese,1 cup
Pizza Hotteok,Ham Slices,Chapters 4-5
Pizza Hotteok,sweet corn,Appropriate amount
Sweet and salty sweet and salty boneless chicken,Chicken tenderloin,350g
Sweet and salty sweet and salty boneless chicken,potato chips,1 bag
Sweet and salty sweet and salty boneless chicken,Serial,1 cup
Sweet and salty sweet and salty boneless chicken,salt,little
Sweet and salty sweet and salty boneless chicken,pepper,little
Mussels with Garlic Butter,mussel,30
Mussels with Garlic Butter,butter,100g
Mussels with Garlic Butter,chopped garlic,1/2 tbsp
Mussels with Garlic Butter,parsley,1 tbsp
Mussels with Garlic Butter,Herb Salt,1 tsp
Mussels with Garlic Butter,bread crumbs,12 tablespoons
Iksong's Hongkkotang,mussel,one basket
Iksong's Hongkkotang,cockle,three fists
Iksong's Hongkkotang,again,One
Iksong's Hongkkotang,radish,4-Jan
Iksong's Hongkkotang,Cheongyang Pepper,6 pieces
Iksong's Hongkkotang,chopped garlic,1 tbsp
Iksong's Hongkkotang,pepper,1/2 teaspoon
Iksong's Hongkkotang,salt,1 tbsp
Iksong's Hongkkotang,let's eat seafood,1 tbsp
Iksong's Hongkkotang,Udon Sari,One
Sweet potato cheese croquettes,sweet potato,5 pieces
Sweet potato cheese croquettes,flour,a bowl
Sweet potato cheese croquettes,egg,2
Sweet potato cheese croquettes,bread crumbs,a bowl
Sweet potato cheese croquettes,string cheese,5 pieces
Sweet potato cheese croquettes,sugar,2 tablespoons
All-purpose seasoned tuna,canned tuna,2 cans
All-purpose seasoned tuna,onion,3-Jan
All-purpose seasoned tuna,pepper,One
All-purpose seasoned tuna,green onion,10cm
All-purpose seasoned tuna,carrot,8-Jan
All-purpose seasoned tuna,chopped garlic,2/3 tbsp
All-purpose seasoned tuna,chili powder,1/2 tbsp
All-purpose seasoned tuna,chili pepper paste,2 tbsp
All-purpose seasoned tuna,corn syrup,1.5 tbsp
Ttukbaegi Bulgogi,For beef bulgogi (loin or front/back leg),250g
Ttukbaegi Bulgogi,green onion,15cm
Ttukbaegi Bulgogi,onion,2-Jan
Ttukbaegi Bulgogi,Soaked vermicelli,1/2 zoom
Ttukbaegi Bulgogi,water (or kelp broth),300ml
Ttukbaegi Bulgogi,sliced carrots,?? pieces
Ttukbaegi Bulgogi,marinade ingredients,Note the contents
salad bread,potato,Three
salad bread,egg,2
salad bread,canned corn,5 tbsp
salad bread,onion,1/2 pcs.
salad bread,cucumber,2-Jan
salad bread,apologize,2-Jan
salad bread,bread,8
salad bread,(optional) tomato,2-Jan
salad bread,salt,a little
salad bread,vinegar,1 tbsp
salad bread,butter,1 tbsp
salad bread,mayonnaise,6 tbsp
salad bread,tomato ketchup,2 tbsp
salad bread,pepper powder,a little
Chinese Dumpling Soryongpo (Xiaolongbao),raw dumpling skin,Appropriate amount
Chinese Dumpling Soryongpo (Xiaolongbao),minced pork,400g
Chinese Dumpling Soryongpo (Xiaolongbao),small cabbage,1/2 can
Chinese Dumpling Soryongpo (Xiaolongbao),cooking wine,2 tbsp
Chinese Dumpling Soryongpo (Xiaolongbao),salt and pepper,a little
Chinese Dumpling Soryongpo (Xiaolongbao),Ingredients for Broth,a little
Chinese Dumpling Soryongpo (Xiaolongbao),soy sauce,1 tbsp
Chinese Dumpling Soryongpo (Xiaolongbao),powdered agar,teaspoons
Hawaiian Shrimp,jumbo shrimp,10
Hawaiian Shrimp,small onion,One
Hawaiian Shrimp,green onion,1 root
Hawaiian Shrimp,butter,2 1/2 tbsp
Hawaiian Shrimp,garlic,10 pills
Hawaiian Shrimp,chili sauce,Note the content
Chickpea Salad,Chickpeas in clay,handful
Chickpea Salad,salad greens,Appropriate amount
Chickpea Salad,mini paprika by color,1-Feb
Chickpea Salad,Balsamic vinegar,Appropriate amount
Chickpea Salad,olive oil,little
Chickpea Salad,fodder or oligosaccharide,little
Aglio Olio,pasta noodles,100g
Aglio Olio,garlic,5 pills
Aglio Olio,olive oil,half a cup
Aglio Olio,Pepperoncino,5-Mar
Aglio Olio,Parmesan Cheese Powder,a teaspoon
Aglio Olio,coarse salt,two teaspoons
Aglio Olio,pepper,a pinch
Aglio Olio,parsley,a pinch
Chickpea peas,Chickpeas in clay,two air
Chickpea peas,"ground pork, beef",Appropriate amount
Chickpea peas,"Carrots, Spinach, Onions",Appropriate amount
Chickpea peas,egg,One
Chickpea peas,flour,little
Chickpea peas,"salt, pepper",little
Cereal French Toast,bread,Chapter 8
Cereal French Toast,egg,Three
Cereal French Toast,milk,?? cup
Cereal French Toast,salt,a little
Cereal French Toast,Cream Cheese,8 tbsp
Cereal French Toast,fruit jam,4 tbsp
Cereal French Toast,Serial,1 cup
Oyster Rice Cake Soup,Tteokguktteok,3 cups
Oyster Rice Cake Soup,water dumplings,2 cups
Oyster Rice Cake Soup,cave,150g
Oyster Rice Cake Soup,Chives,2 roots
Oyster Rice Cake Soup,onion,??
Oyster Rice Cake Soup,carrot,??
Oyster Rice Cake Soup,egg,2
Oyster Rice Cake Soup,Dried kelp,1 piece
Oyster Rice Cake Soup,large dried anchovies,?? zoom
Oyster Rice Cake Soup,soy sauce,1 ?? tbsp
Oyster Rice Cake Soup,pepper powder,a little
boiled sweet potato,sweet potato,3 (of)
boiled sweet potato,brewed soy sauce,1 tbsp
boiled sweet potato,oligosaccharide,1 ?? tbsp
Shrimp Fried Rice,Shrimp meat,1 ?? cups
Shrimp Fried Rice,onion,??
Shrimp Fried Rice,carrot,??
Shrimp Fried Rice,Chives,?? zoom
Shrimp Fried Rice,egg,2
Shrimp Fried Rice,rice,2 air
Shrimp Fried Rice,Oyster Sauce,1 tbsp
Shrimp Fried Rice,brewed soy sauce,?? tbsp
Shrimp Fried Rice,salt,a little
Shrimp Fried Rice,pepper powder,a little
Croissant BLT Sandwich,croissant,One
Croissant BLT Sandwich,bacon,2 slices
Croissant BLT Sandwich,romaine tomato,One
Grilled lobster with lemon,jumbo shrimp,500g
Grilled lobster with lemon,lemon,One
Grilled lobster with lemon,coarse sea salt,1 cup
Spicy Seafood Jjamppong Udon,Udon Sari,One
Spicy Seafood Jjamppong Udon,onion,2-Jan
Spicy Seafood Jjamppong Udon,Chives,2 roots
Spicy Seafood Jjamppong Udon,lily clam,half a zoom
Spicy Seafood Jjamppong Udon,calamari,100g
Steak Salad,beef sirloin,100g
Steak Salad,lettuce,10g
Steak Salad,romaine,Chapter 2
Steak Salad,Lola Rossa,Chapter 2
Steak Salad,Cheongchi Curry,Chapter 3
Steak Salad,green vitamin,1 loaf
Steak Salad,baby vegetable,3g
Steak Salad,Cherry tomato,One
Steak Salad,Steak Sauce,1 tbsp
Steak Salad,balsamic cream,2 tbsp
Soybean Paste Soup,Chinese Cabbage,2 chunks
Soybean Paste Soup,tofu,1 set
Soybean Paste Soup,soybean paste,1 tbsp
Soybean Paste Soup,chopped garlic,1/3 tbsp
Soybean Paste Soup,Kelp,2 sheets of 5cm
Soybean Paste Soup,anchovy,10
Crami Cheese Sandwich,croissant,One
Crami Cheese Sandwich,Crammy,30g
Crami Cheese Sandwich,lettuce,5g
Crami Cheese Sandwich,green bell pepper,8-Jan
Crami Cheese Sandwich,red bell pepper,8-Jan
Crami Cheese Sandwich,jalapeno,4 pieces
Crami Cheese Sandwich,mozzarella cheese,50g
Crami Cheese Sandwich,plain yogurt,One
Crami Cheese Sandwich,mayonnaise,1 tbsp
Crami Cheese Sandwich,lemon juice,1 tbsp
green pepper herbs,Jwali pepper,100g
green pepper herbs,red pepper,2-Jan
green pepper herbs,chopped garlic,1/2 tbsp
green pepper herbs,soybean paste,1 tbsp
green pepper herbs,chili powder,1/2 tbsp
green pepper herbs,Sesame oil,a little
Hwangtae indebted country,Hwangtae,2 zoom
Hwangtae indebted country,radish,300g
Hwangtae indebted country,Dried kelp,1 piece
Hwangtae indebted country,Perilla Sesame Powder,1 ?? tbsp
Hwangtae indebted country,Sesame oil,2 ?? tbsp
Hwangtae indebted country,soy sauce,?? tbsp
Hwangtae indebted country,salted shrimp,1 tbsp
Hwangtae indebted country,chopped garlic,?? tbsp
Oyster Salad,cave,150g
Oyster Salad,apologize,??
Oyster Salad,mandarin,One
Oyster Salad,Cherry tomato,1 cup
Oyster Salad,lettuce,2 zoom
Oyster Salad,sugar,1 tbsp
Oyster Salad,lemon juice,2 tbsp
Oyster Salad,olive oil,2 tbsp
Oyster Salad,salt,a little
 abalone porridge,rice,two cups
abalone porridge,abalone,4
 abalone porridge,potato,one
 abalone porridge,carrot,4-Jan
 abalone porridge,Chives,5 generations
 abalone porridge,onion,half
 abalone porridge,Sesame oil,3 tbsp
 abalone porridge,soy sauce,1.5 tbsp
 abalone porridge,salt,1/3 tbsp
Cheese Kimchi Pancake,sour kimchi,2 cups
Cheese Kimchi Pancake,onion,One
Cheese Kimchi Pancake,pancake powder,2 cups
Cheese Kimchi Pancake,egg,2
Cheese Kimchi Pancake,pizza cheese,1 cup
Kimbap Kim Roll,noodle,150g
Kimbap Kim Roll,Seaweed for Kimbap,Chapter 4
Kimbap Kim Roll,carrot,3/4 pieces
Kimbap Kim Roll,Pickled radish for gimbap,Appropriate amount
Kimbap Kim Roll,Burdock for Gimbap,Appropriate amount
Kimbap Kim Roll,Ham for Gimbap,Appropriate amount
Kimbap Kim Roll,soy sauce,1 tbsp
Kimbap Kim Roll,Sesame oil,2 tbsp
Kimbap Kim Roll,sesame salt,a little
Kimbap Kim Roll,water,1 cup
Kimbap Kim Roll,frying powder + wheat flour,1 cup
Bone brisket meat,brisket,4-500g
Bone brisket meat,Retort Beef Bone,1 bag
Bone brisket meat,"Ingredients for soup (laurel, whole black pepper, green onion root, onion, radish, etc.)",Appropriate amount
Bone brisket meat,Whole sesame,Appropriate amount
Bone brisket meat,soy sauce,1 tbsp
Bone brisket meat,vinegar,1 tbsp
Bone brisket meat,Plum juice,1 tbsp
Bone brisket meat,sugar,1 tbsp
Bone brisket meat,Sesame oil,1 tbsp
Corn Butter Tortilla,Tortilla,Chapter 2
Corn Butter Tortilla,hot sauce,1 tbsp
Corn Butter Tortilla,Sweet Chili Sauce,1 tbsp
Corn Butter Tortilla,pizza cheese,2 zoom
Corn Butter Tortilla,sliced cheese,Chapter 2
Corn Butter Tortilla,corner,half a can
Corn Butter Tortilla,butter,1 tbsp
Corn Butter Tortilla,sugar,1 tbsp
Corn Butter Tortilla,pepper,a little
Onion Rice Bowl,onion,One
Onion Rice Bowl,egg,2
Onion Rice Bowl,soy sauce,2 tbsp
Onion Rice Bowl,Mirin,2 tbsp
Onion Rice Bowl,Cheongyang Pepper,One
Onion Rice Bowl,katsuobushi,a little
Spicy Tuna Baked Pasta,penne,1 serving
Spicy Tuna Baked Pasta,tomato sauce,2 cups
Spicy Tuna Baked Pasta,onion,4-Jan
Spicy Tuna Baked Pasta,king oyster mushroom,One
Spicy Tuna Baked Pasta,tuna,1 can
Spicy Tuna Baked Pasta,cheese,one bag
Pork Tenderloin Steak,pork tenderloin,4 chunks
Pork Tenderloin Steak,king oyster mushroom,2
Pork Tenderloin Steak,Balsamic vinegar,a little
Pork Tenderloin Steak,pepper,a little
Pork Tenderloin Steak,young leafy vegetables,wisp
Red Wine Vinega Salad,salt,a little
Red Wine Vinega Salad,pepper,a little
Red Wine Vinega Salad,red wine vinegar,3 tbsp
Red Wine Vinega Salad,olive oil,2 tbsp
Red Wine Vinega Salad,chickpeas,1 cup
Red Wine Vinega Salad,Quinoa,1 cup
Red Wine Vinega Salad,sliced olives,half a cup
Red Wine Vinega Salad,egg,4 pieces
Red Wine Vinega Salad,paprika,one
Mentaiko Ochazuke,Chives,One
Mentaiko Ochazuke,cod roe,One
Mentaiko Ochazuke,green tea leaves,little
Mentaiko Ochazuke,rice,1 air
Mentaiko Ochazuke,seaweed powder,little
Mentaiko Ochazuke,Furikake,3g
3 types of beer snacks,johnsonville sausage,6 pieces
3 types of beer snacks,onion,2-Jan
3 types of beer snacks,pimento,2-Jan
3 types of beer snacks,paprika,2-Jan
3 types of beer snacks,broccoli,1 cup
3 types of beer snacks,Oyster Sauce,1 tbsp
3 types of beer snacks,luncheon meat,1 can
types of beer snacks,cheese,1 page
3 types of beer snacks,flour,1/2 cup
3 types of beer snacks,egg,2
3 types of beer snacks,bread crumbs,1/2 cup
3 types of beer snacks,Oscar Meyer Bacon,10 lines
3 types of beer snacks,onion,2
Homemade Red Bean Bread,red bean in clay,2 cups
Homemade Red Bean Bread,sugar (black),cup
Homemade Red Bean Bread,salt,1T
Croissant Sandwich,croissant,10 things
Croissant Sandwich,sliced cheese,Chapter 5
Croissant Sandwich,taste,5 lines
Croissant Sandwich,sandwich ham,1 bag
Croissant Sandwich,tomato,5 pieces
Croissant Sandwich,chicory or lettuce,a little
Croissant Sandwich,mayonnaise,3 tablespoons
Croissant Sandwich,Honey Mustard Sauce,1 spoon
Croissant Sandwich,pickle,5 pieces
Croissant Sandwich,sugar,half a spoon
Monte Cristo Sandwich,bread,Three
Monte Cristo Sandwich,cheese,Chapter 2
Monte Cristo Sandwich,ham,Chapter 2
Monte Cristo Sandwich,milk,1 tablespoon
Monte Cristo Sandwich,egg,4 pieces
Monte Cristo Sandwich,mustard,2 tablespoons
Monte Cristo Sandwich,Strawberry Jam,2 tablespoons
Monte Cristo Sandwich,butter,1 cube
Homemade Nutella,hazelnut,150g
Homemade Nutella,cocoa powder,4 tbsp
Homemade Nutella,powdered sugar,7 tbsp
Homemade Nutella,Oil,3 tbsp
Grilled Rice Cake with Cheese Sauce,rice cake,Appropriate amount
Grilled Rice Cake with Cheese Sauce,whipped cream,80ml
Grilled Rice Cake with Cheese Sauce,milk,80ml
Grilled Rice Cake with Cheese Sauce,Sliced Cheese,Chapter 5
Grilled Rice Cake with Cheese Sauce,sugar salt,a little
Soy Sauce Shrimp & Egg Rice,Mirin,1 cup
Soy Sauce Shrimp & Egg Rice,soy sauce,2 cups
Soy Sauce Shrimp & Egg Rice,egg,Three
Soy Sauce Shrimp & Egg Rice,Sesame oil,1 tsp
Soy Sauce Shrimp & Egg Rice,seaweed powder,little
Soy Sauce Shrimp & Egg Rice,shrimp,12
Soy Sauce Shrimp & Egg Rice,green onion,2-Jan
Soy Sauce Shrimp & Egg Rice,onion,4-Jan
Soy Sauce Shrimp & Egg Rice,Dried Shiitake Mushrooms,One
Soy Sauce Shrimp & Egg Rice,Cheongyang Pepper,One
Soy Sauce Shrimp & Egg Rice,garlic,page 3
Soy Sauce Shrimp & Egg Rice,ginger,One
Soy Sauce Shrimp & Egg Rice,dried red pepper,2-Jan
Soy Sauce Shrimp & Egg Rice,whole black pepper,5 pills
Soy Sauce Shrimp & Egg Rice,Kelp,1 page
Roasted Whole Grain Gangjeong,Earthen Roasted Whole Grains,Appropriate amount
Roasted Whole Grain Gangjeong,"Roasted Peanuts, Almonds, Raisins",Appropriate amount
Roasted Whole Grain Gangjeong,grain syrup,4 tbsp
Roasted Whole Grain Gangjeong,sugar,2 tbsp
Roasted Whole Grain Gangjeong,water,1 tbsp
Eggplant miso rice bowl,egg plant,One
Eggplant miso rice bowl,minced pork,50g
Eggplant miso rice bowl,rice,1 air
Eggplant miso rice bowl,green onion,1/2 unit
Eggplant miso rice bowl,onion,2-Jan
Eggplant miso rice bowl,soybean paste,1 t
Eggplant miso rice bowl,Dubanjang,1/2t
Eggplant miso rice bowl,Cheongyang Pepper,One
Eggplant miso rice bowl,chopped garlic,1/2t
Eggplant miso rice bowl,Sesame oil,1 t
Eggplant miso rice bowl,cooking oil,5t
Eggplant miso rice bowl,starch,5t
Eggplant miso rice bowl,salt,1 pinch
Eggplant miso rice bowl,pepper,1 pinch
chickpea gangjeong,Chickpeas in clay,handful
chickpea gangjeong,oligosaccharide,little
chickpea gangjeong,sugar,little
Stir-Fried Pork,pork neck,300g
Stir-Fried Pork,onion,half
Stir-Fried Pork,pepper,two
Stir-Fried Pork,chili pepper paste,two tablespoons
Stir-Fried Pork,cooking wine,4 tbsp
Stir-Fried Pork,sugar,a tablespoon
Stir-Fried Pork,chopped garlic,a teaspoon
Stir-Fried Pork,pepper powder,1/6 teaspoon
Stir-Fried Pork,soy sauce,1.5 tbsp
Stir-Fried Pork,Sesame oil,a tablespoon
Ssamjang Hot Radish Bibimbap,hot radishes,5 stems
Ssamjang Hot Radish Bibimbap,rice,2 air
Ssamjang Hot Radish Bibimbap,egg,2
Ssamjang Hot Radish Bibimbap,Sesame oil,2 tbsp
Ssamjang Hot Radish Bibimbap,Ssamjang,3-4 tablespoons
Ssamjang Hot Radish Bibimbap,Sesame,a little
Bibimbap Mandujeon,red pepper,One
Bibimbap Mandujeon,onion,2-Jan
Bibimbap Mandujeon,Chives,5 stems
Bibimbap Mandujeon,pancake powder,100G
Bibimbap Mandujeon,water,200o
Bibimbap Mandujeon,salt,1 tsp
Bibimbap Mandujeon,GMF Bibimbap Dumplings,1 pack
Pollack roe rice bowl,anti-kill,300g
Pollack roe rice bowl,onion,One
Pollack roe rice bowl,cod roe,2-3 loaves
Pollack roe rice bowl,rice,2 air
Pollack roe rice bowl,mayonnaise,a little
Pollack roe rice bowl,salt and pepper,a little
Pollack roe rice bowl,"Tsuyu (if you don't have it, soy sauce + half a tablespoon of sugar)",2 tbsp
Pollack roe rice bowl,soy sauce,2 tbsp
Pollack roe rice bowl,cooking wine,half a paper cup
Pollack roe rice bowl,water,half a paper cup
Seafood Soft Tofu,Clam,2 cups
Seafood Soft Tofu,calamari,1
Seafood Soft Tofu,onion,2-Jan
Seafood Soft Tofu,green onion,10cm
Seafood Soft Tofu,soft tofu,1 pack
Seafood Soft Tofu,shrimp,4
Seafood Soft Tofu,Cheongyang Pepper,One
Seafood Soft Tofu,egg,2
Seafood Soft Tofu,chili powder,2 tbsp
Seafood Soft Tofu,soy sauce,1 tbsp
Seafood Soft Tofu,chopped garlic,1 tbsp
Seafood Soft Tofu,minced ginger,1 teaspoon
Seafood Soft Tofu,pepper powder,a little
Stir-fried Cuttlefish,trimmed cuttlefish,400g
Stir-fried Cuttlefish,onion,One
Stir-fried Cuttlefish,White Mushroom,6 pieces
Teriyaki Chicken Rice Bowl,chicken breast,250g
Teriyaki Chicken Rice Bowl,stem bean,half a zoom
Teriyaki Chicken Rice Bowl,Cherry tomato,4 pieces
Teriyaki Chicken Rice Bowl,White Mushroom,4 pieces
Chicken Cheese Oven Spaghetti,chicken breast,400g
Chicken Cheese Oven Spaghetti,spaghetti noodles,200g
Chicken Cheese Oven Spaghetti,tomato sauce,1 bottle
Chicken Cheese Oven Spaghetti,onion,One
Chicken Cheese Oven Spaghetti,mozzarella cheese,100g
Webfoot octopus yeonpotang,webfoot octopus,400g
Webfoot octopus yeonpotang,zucchini,One
Webfoot octopus yeonpotang,Sesame,1/2 pack
Chinese Potato Stir-fry,potato,One
Chinese Potato Stir-fry,pimento,4-Jan
Chinese Potato Stir-fry,vinegar,1 teaspoon
Chinese Potato Stir-fry,salt,a little
Stir-fried Wood Ear Mushrooms,throat mushroom,wisp
Stir-fried Wood Ear Mushrooms,carrot,4-Jan
Stir-fried Wood Ear Mushrooms,chopped garlic,half a tablespoon
Stir-fried Wood Ear Mushrooms,soy sauce,tablespoon
Stir-fried Wood Ear Mushrooms,Sesame oil,a little
squid rice,calamari,one animal
squid rice,rice,1 serving
squid rice,soy sauce,2 tbsp
squid rice,Mirin,2 tbsp
squid rice,water,one cup
Egg Soft Tofu Soup,soft tofu,one
Egg Soft Tofu Soup,squash,4-Jan
Egg Soft Tofu Soup,egg,2
Egg Soft Tofu Soup,green onion,half
Egg Soft Tofu Soup,soy sauce,a little
Egg Soft Tofu Soup,salt,a little
Egg Soft Tofu Soup,anchovy,wisp
 Chicken Fillet Cream Risotto,cold rice,1 air
 Chicken Fillet Cream Risotto,Chicken tenderloin,One
 Chicken Fillet Cream Risotto,button mushrooms,One
 Chicken Fillet Cream Risotto,broccoli,10g
 Chicken Fillet Cream Risotto,onion,8-Jan
 Chicken Fillet Cream Risotto,garlic,One
 Chicken Fillet Cream Risotto,pepperoncini,2
 Chicken Fillet Cream Risotto,baby vegetable,3g
 Chicken Fillet Cream Risotto,milk,150ml
 Chicken Fillet Cream Risotto,whipping cream,100ml
 Chicken Fillet Cream Risotto,Chicken Stock Cubes,One
 Chicken Fillet Cream Risotto,white wine,2 tbsp
 Chicken Fillet Cream Risotto,Parmesan Cheese,1 tbsp
 Chicken Fillet Cream Risotto,dry basil,a pinch
 Chicken Fillet Cream Risotto,salt,2 pinches
 Chicken Fillet Cream Risotto,pepper,a little
 clam soft tofu stew,Clam,10 things
 clam soft tofu stew,enoki mushroom,8-Jan
 clam soft tofu stew,green onion,6cm
 clam soft tofu stew,onion,6-Jan
 clam soft tofu stew,garlic,2
 clam soft tofu stew,pepper,1/4 each
 clam soft tofu stew,soft tofu,1/2 hair
 clam soft tofu stew,egg,One
clam soft tofu stew,chili oil,1 tbsp
 clam soft tofu stew,soy sauce,1 tbsp
Bacon Egg Crepes,egg,One
Bacon Egg Crepes,bacon,1 page
Bacon Egg Crepes,button mushrooms,One
Bacon Egg Crepes,Cherry tomato,One
Bacon Egg Crepes,dry basil,a little
Bacon Egg Crepes,butter,a little
Bacon Egg Crepes,[Crepe dough] Flour,50g
Bacon Egg Crepes,milk,1/4 cup
Bacon Egg Crepes,sugar,2 teaspoons
Bacon Egg Crepes,salt,a pinch
Bacon Egg Crepes,egg,One
Bacon Egg Crepes,butter,1 tbsp
 Cheese Bacon Potatoes,potato,One
 Cheese Bacon Potatoes,bacon,One
 Cheese Bacon Potatoes,Cheddar Cheese,One
 Cheese Bacon Potatoes,mozzarella cheese,wisp
 Cheese Bacon Potatoes,dry basil,a little
 Cheese Bacon Potatoes,salt,a little
 Cheese Bacon Potatoes,pepper,a little
 Cheese Bacon Potatoes,frying oil,500ml
traffic light spam,spam,One
traffic light spam,green pepper,2
traffic light spam,red pepper,2
traffic light spam,quail eggs,16
traffic light spam,salt,a little
traffic light spam,pepper powder,a little
traffic light spam,cooking oil,Appropriate amount
egg soup,egg,Three
egg soup,anchovy soup,5-Apr
egg soup,Chives,1-2 stems
egg soup,salt,Appropriate amount
Mushroom Rice Bowl,Shiitake mushrooms,4 pieces
Mushroom Rice Bowl,onion,2-Jan
Mushroom Rice Bowl,chives,1/4 zoom
Mushroom Rice Bowl,Oyster Sauce,1-2 tablespoons
Mushroom Rice Bowl,oligosaccharide,1/2 tbsp
Mushroom Rice Bowl,flavored soy sauce,tbsp
Mushroom Rice Bowl,salt,a little
Mushroom Rice Bowl,pepper powder,a little
Mushroom Rice Bowl,chopped garlic,1/2 teaspoon
Mushroom Rice Bowl,starch,1 tbsp
Mushroom Rice Bowl,water,1.5 to 2 cups
Mushroom Rice Bowl,rice,2 air
Beef Rice Bowl,Beef Sirloin,150g
Beef Rice Bowl,spinach,2 stems
Beef Rice Bowl,Shiitake mushrooms,Three
Beef Rice Bowl,chopped garlic,1/2 teaspoon
Beef Rice Bowl,olive oil,Appropriate amount
Beef Rice Bowl,salt,a little
Beef Rice Bowl,pepper powder,a little
Beef Rice Bowl,pine nut,4 pieces
Beef Rice Bowl,chili pepper paste,2 tbsp
Beef Rice Bowl,Sesame oil,1 tbsp
Beef Rice Bowl,corn syrup,2 tbsp
Spicy and sour pickled radish seasoning,pickled radish,200g
Spicy and sour pickled radish seasoning,lemon juice,3 tbsp
Spicy and sour pickled radish seasoning,sugar or honey or oligosaccharide,2 tbsp
Spicy and sour pickled radish seasoning,chili powder,1.5 tbsp
Spicy and sour pickled radish seasoning,Furikage (optional),1 tbsp
Spicy and sour pickled radish seasoning,soy sauce,tbsp
Spicy and sour pickled radish seasoning,Chopped green onion (optional),a little
Six Sashimi Pokey,meat for sashimi,200g
Six Sashimi Pokey,lettuce,Appropriate amount
Six Sashimi Pokey,onion,half a small
Six Sashimi Pokey,Cheongyang Pepper,One
Six Sashimi Pokey,soy sauce,2 tbsp
Six Sashimi Pokey,sugar,1 tbsp
Six Sashimi Pokey,honey or oligosaccharides,1 tbsp
Six Sashimi Pokey,lemon juice,1 tbsp
Six Sashimi Pokey,pepper,a little
Six Sashimi Pokey,wasabi,a little
Six Sashimi Pokey,furikage,1 tbsp
Six Sashimi Pokey,Sesame oil,1 tbsp
Six Sashimi Pokey,seaweed,Appropriate amount
Homemade Garlic Mayonnaise,"Cooking oil (canola oil, grapeseed oil, etc.)",400g
Homemade Garlic Mayonnaise,egg,2
Homemade Garlic Mayonnaise,chopped garlic,1 teaspoon
Homemade Garlic Mayonnaise,salt,1 teaspoon
Homemade Garlic Mayonnaise,pepper,a little
Homemade Garlic Mayonnaise,Condensed milk,2 tbsp
Homemade Garlic Mayonnaise,sugar,1 tbsp
Homemade Garlic Mayonnaise,Parmesan cheese powder (optional),1 tbsp
